date,n_open,n_open_unique,n_later,n_data_errors
2026-06-18,0,0,0,1
2026-06-18,0,0,0,1
2026-06-22,0,0,0,1
2026-06-22,1,1,0,1
2026-06-23,0,0,0,1
2026-06-24,0,0,0,1
2026-06-25,0,0,0,1
2026-06-26,0,0,0,1
2026-06-29,0,0,1,1
2026-06-30,0,0,0,1
2026-07-01,0,0,0,1
2026-07-01,1,1,0,1
2026-07-02,0,0,1,1
2026-07-07,1,1,0,1
2026-07-08,0,0,0,1
2026-07-09,0,0,0,1
2026-07-10,0,0,0,1
2026-07-13,0,0,0,1
2026-07-14,0,0,0,1
2026-07-15,0,0,0,1
2026-07-16,0,0,0,1
2026-07-17,0,0,0,1
2026-07-20,0,0,0,1
2026-07-21,0,0,0,1
